tweet	time	tweet_id	lat	long
2.0 magnitude #earthquake. 13 km from #Hollister  CA  United States http://t.co/zcSaKz936A	 2014-08-24 08:55:08	362523555	36.7392	-121.4147
EARTHQUAKE!	 2014-08-24 10:21:42	341735855	37.27364162	-121.8004701
Earthquake! #california	 2014-08-24 10:21:46	4602	37.30617174	-121.9481551
Woah fucking earthquake shook the entire house ????	 2014-08-24 10:21:51	837173065	37.31985022	-121.9875459
EARTH FUCKING QUAKE	 2014-08-24 10:21:39	2350122217	37.32603288	-121.8380404
Earthquake	 2014-08-24 10:21:48	71378392	37.32168803	-122.0696912
Earthquake!!!!	 2014-08-24 10:21:42	571953721	37.33863878	-121.877644
wait was that an earthquake	 2014-08-24 10:21:43	333868924	37.37301574	-121.8923792
EARTHQUAKE	 2014-08-24 10:21:41	855970824	37.31249201	-121.981364
Earthquake lol	 2014-08-24 10:21:47	63654763	37.32599357	-121.8445059
Wtf!!! Earthquake scared the shit outa me!! Woke me up.	 2014-08-24 10:22:01	1663836642	37.31751887	-121.8031744
anyone else feel that earthquake?	 2014-08-24 10:21:58	341735855	37.27367603	-121.8007926
Earthquake!!!	 2014-08-24 10:21:52	1305626611	37.2934622	-121.8166745
WTf this earthquake just woke me up	 2014-08-24 10:22:00	466185288	37.26805619	-121.8700919
#earthquake	 2014-08-24 10:22:07	277618799	37.3508255	-122.0579449
earthquake!	 2014-08-24 10:22:03	6020282	37.35825148	-121.9987
Earthquake !!!!!!!	 2014-08-24 10:22:18	41750995	37.35087771	-122.0338561
Omg earthquake?!?!	 2014-08-24 10:22:14	514548723	37.2943543	-121.9673795
EARTH QUAKE!!! ????????????????????????	 2014-08-24 10:22:13	521078533	37.31272624	-121.8233559
Earth quake	 2014-08-24 10:22:25	552343346	37.2792203	-121.8180346
Nice lil earthquake lol	 2014-08-24 10:22:22	391880722	37.27882669	-121.8476511
Earthquake hahahaha	 2014-08-24 10:22:27	55718382	37.28537742	-121.8358349
EARTHQUAKE	 2014-08-24 10:22:20	109728456	37.36250807	-121.8454758
Well that was an earthquake	 2014-08-24 10:22:29	94765815	37.32010785	-122.0356109
Fucking earthquake	 2014-08-24 10:22:28	360304339	37.3129935	-121.8793646
Earthquake rn?	 2014-08-24 10:22:31	480036065	37.3231238	-121.9225259
Who felt that earthquake? ????	 2014-08-24 10:22:37	64546390	37.29846387	-121.9475003
I swear we just had an earthquake. Wow.	 2014-08-24 10:22:35	612190949	37.27397187	-121.8908108
Just had a mini earthquake here.	 2014-08-24 10:22:49	32302375	37.33551637	-121.9082615
Whoa did you feel it???? #Earthquake #LaHonda #northerncalifornia	 2014-08-24 10:22:52	14400532	37.3019383	-122.2673324
Was that a mini earthquake or am i that cut...?	 2014-08-24 10:22:47	153709073	37.2626448	-121.9024585
First time an #earthquake woke me up in the middle of the night. Lots of shakes here in San Jose.	 2014-08-24 10:22:50	5131	37.36126964	-121.8454169
There was just an earthquake ...????????	 2014-08-24 10:22:50	996479376	37.24451279	-121.917694
EARTHQUAKE!!!!!	 2014-08-24 10:22:57	403930348	37.32114199	-121.8304523
Is it me or did an Earthquake just woke me up? Damn. Pretty strong. #bayarea #sanjose	 2014-08-24 10:22:57	10219502	37.28000856	-121.8802349
Felt the earthquake in Scotts Valley.	 2014-08-24 10:23:00	675603	37.05015104	-122.0259932
Weak ass earth quake ????	 2014-08-24 10:23:05	395640021	37.26253929	-121.8068754
Just felt an earthquake ????	 2014-08-24 10:23:06	306415253	37.30151639	-121.8962097
i was hella confused throughout that earthquake lol	 2014-08-24 10:23:06	333868924	37.37298303	-121.8923921
Woah that #earthquake woke me up	 2014-08-24 10:23:07	14223434	37.3652692	-122.0190554
Not gonna lie that earthquake just cares the shit outta me	 2014-08-24 10:23:07	364691947	37.3110524	-121.7661598
That was a sizeable earthquake.	 2014-08-24 10:23:18	20067115	37.36581401	-122.1034035
Dude wtf. Anyone else feel that earthquake?	 2014-08-24 10:23:15	570552812	37.32659509	-121.8495222
Earthquake time	 2014-08-24 10:23:15	259966107	37.3336181	-121.9934427
É??@emenozzi: Pretty sure that was an #earthquakeÉ?ù yup.	 2014-08-24 10:23:31	83749630	37.3668066	-122.1512263
Was that an earthquake ???ê	 2014-08-24 10:23:32	292025491	37.33956634	-121.9401496
3AM earthquake no MLS	 2014-08-24 10:23:30	51319609	37.36426064	-121.8367745
That was my first time feeling a big earthquake. ???????ú	 2014-08-24 10:23:37	555742290	37.33055554	-121.7900567
@wilshipley Quake?	 2014-08-24 10:23:37	14092498	37.34983513	-121.9949713
Pretty sure there was just an earthquake ????	 2014-08-24 10:23:42	352694527	37.33272008	-121.8770573
earthquake at 3 in the morning?! ???¯???¯???¯???¯???¯???¯???¯???¯	 2014-08-24 10:23:44	502437057	37.2860514	-121.7609799
That was a fat earthquake	 2014-08-24 10:23:38	1730296039	37.0247684	-121.6111003
Well  that was a good sized earthquake.	 2014-08-24 10:23:45	18706724	37.29846046	-121.9239192
I think we just had an an earthquake. South San Jose @nbcbayarea	 2014-08-24 10:23:48	1106981018	37.23006641	-121.8046568
Was that an earthquake?!	 2014-08-24 10:23:45	29410830	37.36936568	-122.0096263
Anyone else feel that earthquake?	 2014-08-24 10:23:48	1082681838	37.285526	-121.8173024
Wtffff. Earthquake just happened!!!! ????????????????	 2014-08-24 10:23:53	930044245	37.27145805	-121.839348
Earthquake. That's what just happened.	 2014-08-24 10:23:57	2257103024	36.9818316	-122.0148998
Not even gonna lie thought the earthquake was of ghosts shaking my bed I was tripping tf out	 2014-08-24 10:24:00	1465251740	37.3394713	-121.794814
Earthquake woke me up just now	 2014-08-24 10:23:54	18769920	37.281016	-121.908052
Earthquake! #SanJose	 2014-08-24 10:23:56	85606244	37.32633657	-121.8875791
Omg I hella felt that earthquake	 2014-08-24 10:23:58	514548723	37.2944692	-121.9673362
Just felt an earthquake. #earthquake #SanJose	 2014-08-24 10:24:06	25944887	37.3370078	-121.9270648
Our first #earthquake here in California. Terrifying. Did anybody else feel that? #Sunnyvale	 2014-08-24 10:24:02	35851300	37.3615157	-122.0044399
zomg! first earthquake I've been awake for since moving to CA	 2014-08-24 10:24:01	16318984	37.35078732	-121.9947393
holy heck that earthquake was so noticeable and woke me up	 2014-08-24 10:24:05	1013934960	37.37334042	-122.0923609
I loved being woken up at 3 am because of an earthquake thanks california	 2014-08-24 10:24:11	392460446	37.27354309	-121.7515669
Yo you feel the earthquake or what	 2014-08-24 10:24:08	342474511	37.3301768	-121.8052301
Sunnyvale earthquake	 2014-08-24 10:24:15	41750995	37.35082097	-122.0339192
Earthquake!!!!! #earthquake It woke me up just now  saw my decors and plants moving with my wind chime sounding too!	 2014-08-24 10:24:22	54463831	37.31878473	-121.7812776
Holy crap I thought I was trippin!!!!! #earthquake	 2014-08-24 10:24:16	1621019076	37.28482965	-121.9027496
@MohsinWasi: Woah that was a really scary earthquakeyou a scurred ass foo lol shit was a baby	 2014-08-24 10:24:29	153709073	37.2627069	-121.9024992
Hello #earthquake. Back to sleep now.	 2014-08-24 10:24:36	491834102	37.3732858	-122.0645326
I literally never feel earthquakes ever	 2014-08-24 10:24:34	594059393	37.3270137	-121.8828133
hey that was a long little earthquake. 10 seconds or so?	 2014-08-24 10:24:43	14982069	37.34507388	-121.9791914
@conikeec Yep! Just woke me up. Quake for sure.	 2014-08-24 10:24:43	14277600	37.37253975	-122.0192017
so um earthquake or nah? http://t.co/1uPvNOqzR4	 2014-08-24 10:24:50	341735855	37.27361484	-121.8007857
@CityShawn: Was that a earthquake my niggayawpppp maneee	 2014-08-24 10:24:54	153709073	37.262705	-121.9024655
@SVBizNate @RosenbergMerc and here I thought I was hallucinating from lack of sleep. #earthquake	 2014-08-24 10:24:56	17261953	37.29613177	-121.8800306
Someone please tell me that was an earthquake	 2014-08-24 10:25:14	47698395	37.3193259	-121.9939459
OMG that was an earthquake here in San Jose  I thought it was a dream!  	 2014-08-24 10:25:27	44919902	37.32142727	-121.8845374
Just felt my first earthquake...	 2014-08-24 10:25:25	164758769	37.35282039	-121.9986279
Thought I was twerking in a dream. Only to wake up to an earthquake haha	 2014-08-24 10:25:30	55718382	37.28538701	-121.8359109
#earthquake shook me out of my dream!	 2014-08-24 10:25:42	14223434	37.3652745	-122.0190079
Tried to look up how strong that earthquake was... Oops http://t.co/36lPlB2IFM	 2014-08-24 10:25:38	855970824	37.31263503	-121.9812457
EARTHQUAKE YAY KILL US ALL!!!!	 2014-08-24 10:25:38	347713923	37.35342204	-121.8425901
Woken up by an earthquake. Felt like a 4.5.	 2014-08-24 10:25:53	26149168	37.36031532	-121.8399374
I swear I just got woken up by an earthquake!	 2014-08-24 10:25:51	50522038	36.97594722	-122.0118726
oh weird the earth is literally moving #earthquake	 2014-08-24 10:26:02	15355149	37.3281649	-121.8861915
Ooh. Weird  slow earthquake. That'll wake you up :)	 2014-08-24 10:26:02	465759363	37.34833841	-122.0365156
I definitely felt that earthquake and woke up because of it	 2014-08-24 10:26:06	948203804	37.09618958	-121.6429214
EARTHQUAKEã¨Åã¨Å	 2014-08-24 10:26:24	197796433	37.3307457	-121.8754266
That earthquake just split the shed into threes. Ur welcome all you fuckin freshman partiers	 2014-08-24 10:26:15	425614175	37.34306734	-121.8845871
Quake! I felt that in Ben Lomond near Santa Cruz.	 2014-08-24 10:26:26	224558317	37.09847394	-122.1125532
É??@theeethanmoreno: Hell nahhhh earthquake in SF. Jesus take the wheel ???èÉ?ù y'all good??	 2014-08-24 10:26:25	353399758	36.81641337	-119.7555237
@hishoeb our whole house were shacking for a few seconds! #earthquake #Sunnyvale	 2014-08-24 10:26:37	35851300	37.36152988	-122.0042564
S/O SAN JOSE EARTHQUAKES	 2014-08-24 10:26:38	391880722	37.27883508	-121.8475103
I never feel earthquakes. But that one just woke me up.	 2014-08-24 10:26:49	225253874	37.36919146	-121.8209798
3:21 am earthquake tbh my biggest fear is that i'll be killed in sleep second biggest is that i sleep naked....	 2014-08-24 10:26:51	19103612	37.36371196	-122.0512769
Caveat being I know I didnt live through loma prieta but give me earthquakes all day over tornados and hurricanes	 2014-08-24 10:26:47	259966107	37.3336181	-121.9934427
Anyone else feel that? #Quake ????	 2014-08-24 10:26:56	465109337	37.26137698	-121.808363
thought i was hella fucked up but i guess we had an earthquake hahah	 2014-08-24 10:27:09	2200609441	37.24022255	-121.860346
É??@AkberAzimi: EARTHQUAKE WHILE IM WATCHING GODZILLA. BRUHHH.É?ù	 2014-08-24 10:27:15	455053054	37.37123485	-121.8210209
They say if ur bed shakes then the devil is sleeping with u &amp; even tho it was just an earthquake I'm still scared ????????	 2014-08-24 10:27:19	193482885	37.36396161	-122.0212029
#earthquake in #BayArea	 2014-08-24 10:27:26	43357385	37.37047603	-122.0204603
There was just a little earth quake  my first earth quake I'm still shaking! @zobuggg is trying to calm me down	 2014-08-24 10:27:34	252349869	37.2697672	-121.9638143
É??@DBO415: So who was taking a shit and ran out without wiping yo ass? ????É?ù nbfrt hahahaha kio+earthquake no bueno ????????????	 2014-08-24 10:27:45	2350122217	37.32603886	-121.8382006
Welp  I think I just experienced my first earthquake. #sj #sanjose #southbay #siliconvalley #bayarea	 2014-08-24 10:27:41	9624612	37.35127816	-121.8912534
That was some scary shit smh just felt a earthquake !! Whole bed was moving ????	 2014-08-24 10:27:52	756293178	37.35095659	-121.9731732
That earthquake literally woke me up  could literally see my room shaking from my bed moving around	 2014-08-24 10:27:48	1692481532	36.96396724	-122.0585144
waiting for that aftershock ???Å	 2014-08-24 10:27:54	341735855	37.27355856	-121.8007396
#earthquake in Cupertino. Hope everyone is safe.	 2014-08-24 10:27:47	285518944	37.32106368	-121.9981186
Last cool earthquakes was during the warriors game before halloween  now that one i was trippin lol	 2014-08-24 10:27:52	391880722	37.27877272	-121.8476045
My dog lost his shit over that earthquake more than the rest of us did.	 2014-08-24 10:28:22	427870994	37.30572692	-122.0361475
Btw there was a big ass earthquake @KamilaXx13 haha	 2014-08-24 10:28:32	312412769	37.31624867	-121.7808478
???? #earthquake ???ê	 2014-08-24 10:28:37	84506465	37.30332169	-121.9009063
sleep through an earthquakeÉ??ã?è	 2014-08-24 10:28:50	1113081206	37.28853949	-121.914252
Being home alone with miros with this earthquake is literally super scary!	 2014-08-24 10:29:07	509692391	37.3577696	-121.8653634
Why are all the earthquakes while I'm in bed?	 2014-08-24 10:29:31	1321628407	37.32634007	-121.7992071
I guess we left SF in time cause the earthquake was probably bigger over there. I didn't feel anything here lol ????	 2014-08-24 10:29:42	97142520	37.27593478	-121.8133554
weak ass earthquake	 2014-08-24 10:29:36	2200609441	37.24019669	-121.860387
